Date,price,High,Low,return_1,price_range,future_volatility_7d,sma_20,trend_regime,volatility_10,volatility_regime
2018-01-20,12899.2001953125,13103.0,11656.2001953125,0.11129105236439107,0.11216197770256013,0.049134340096653115,14180.569970703125,TREND_DOWN,0.07894584988938833,HIGH_VOLATILITY
2018-01-21,11600.099609375,12895.900390625,11288.2001953125,-0.10071171594108497,0.1385936543176909,0.03409622669006815,14077.71494140625,TREND_DOWN,0.07843489646011345,HIGH_VOLATILITY
2018-01-22,10931.400390625,11966.400390625,10240.2001953125,-0.05764598936801968,0.15791208204146706,0.029590410523746745,13875.17998046875,TREND_DOWN,0.07712839225181813,HIGH_VOLATILITY
2018-01-23,10868.400390625,11377.599609375,10129.7001953125,-0.005763214020962026,0.11481905056966143,0.05150069528462816,13658.55,TREND_DOWN,0.07550628810295565,HIGH_VOLATILITY
2018-01-24,11359.400390625,11501.400390625,10639.7998046875,0.04517684133384825,0.07584912550917614,0.04693936027847856,13446.560009765624,TREND_DOWN,0.07831881594558864,HIGH_VOLATILITY
2018-01-25,11259.400390625,11785.7001953125,11057.400390625,-0.008803281560753051,0.06468371133634343,0.05747062601433549,13138.055029296875,TREND_DOWN,0.07807230329169751,HIGH_VOLATILITY
2018-01-26,11171.400390625,11656.7001953125,10470.2998046875,-0.007815691506385392,0.10619979135477259,0.05686883692960093,12820.275048828125,TREND_DOWN,0.057275936801272534,HIGH_VOLATILITY
2018-01-27,11440.7001953125,11614.900390625,10989.2001953125,0.024106181433931617,0.05469072562262079,0.059511430132279684,12568.430078125,TREND_DOWN,0.05705445111467683,HIGH_VOLATILITY
2018-01-28,11786.2998046875,12040.2998046875,11475.2998046875,0.03020790716258781,0.047937012409551574,0.05777202088359528,12399.240087890625,TREND_DOWN,0.05726967912311023,HIGH_VOLATILITY
2018-01-29,11296.400390625,11875.599609375,11179.2001953125,-0.041565158037780714,0.06164790464053037,0.07132440410648286,12234.290087890626,TREND_DOWN,0.05894664487138975,HIGH_VOLATILITY
2018-01-30,10106.2998046875,11307.2001953125,10036.2001953125,-0.10535219581320587,0.1257631402751861,0.09499753243620035,11990.940087890625,TREND_DOWN,0.052486019959145085,HIGH_VOLATILITY
2018-01-31,10221.099609375,10381.599609375,9777.419921875,0.011359232053877344,0.059111026268233814,0.09336852639094419,11831.705078125,TREND_DOWN,0.045506283303669515,HIGH_VOLATILITY
2018-02-01,9170.5400390625,10288.7998046875,8812.2802734375,-0.1027834196380305,0.16100682456656543,0.09817322701643176,11591.202099609374,TREND_DOWN,0.052309951850789474,HIGH_VOLATILITY
2018-02-02,8830.75,9142.2802734375,7796.490234375,-0.037052347802326024,0.1523981586006285,0.10034542411263586,11314.72958984375,TREND_DOWN,0.05255660810042858,HIGH_VOLATILITY
2018-02-03,9174.91015625,9430.75,8251.6298828125,0.03897292486481896,0.12851571264534692,0.09915474627022604,11084.87509765625,TREND_DOWN,0.05174186841049067,HIGH_VOLATILITY
2018-02-04,8277.009765625,9334.8701171875,8031.22021484375,-0.09786476110758924,0.15750252074824161,0.09380513280178719,10807.735595703125,TREND_DOWN,0.05702050691689869,HIGH_VOLATILITY
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,-0.15968807377551097,0.2312145557904784,0.06673523545964657,10580.974096679687,TREND_DOWN,0.06964459640396976,HIGH_VOLATILITY
2018-02-06,7754.0,7850.7001953125,6048.259765625,0.11483809805022926,0.23245298293622646,0.0621426079978967,10409.244116210937,TREND_DOWN,0.08394112660870251,HIGH_VOLATILITY
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,-0.01711377293171268,0.16694269286158459,0.06786941061592176,10216.564086914062,TREND_DOWN,0.08115080212242862,HIGH_VOLATILITY
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,0.08453807822469184,0.11141487605571102,0.06633539462958031,10049.473559570313,TREND_DOWN,0.0901181718417269,HIGH_VOLATILITY
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,0.057030488314931294,0.09754748918815362,0.06588110589106923,9841.362573242188,TREND_DOWN,0.08905775662257302,HIGH_VOLATILITY
2018-02-10,8621.900390625,9122.5498046875,8295.4697265625,-0.013171607575021227,0.0959278164503412,0.06702763278276938,9692.452612304687,TREND_DOWN,0.08871748726830452,HIGH_VOLATILITY
2018-02-11,8129.97021484375,8616.1298828125,7931.10009765625,-0.05705588715872301,0.0842598148644528,0.06548712377745824,9552.381103515625,TREND_DOWN,0.08467511397696931,HIGH_VOLATILITY
2018-02-12,8926.5703125,8985.919921875,8141.43017578125,0.09798315081177211,0.0946040546962588,0.061580990391263246,9455.289599609376,TREND_DOWN,0.09022881836061289,HIGH_VOLATILITY
2018-02-13,8598.3095703125,8958.4697265625,8455.41015625,-0.03677344497335466,0.058506799063088005,0.054136319556739004,9317.23505859375,TREND_DOWN,0.09022506904940059,HIGH_VOLATILITY
2018-02-14,9494.6298828125,9518.5400390625,8599.919921875,0.10424378247495736,0.09675154571853477,0.05887526988827542,9228.996533203124,TREND_UP,0.0891765718399115,HIGH_VOLATILITY
2018-02-15,10166.400390625,10234.7998046875,9395.580078125,0.07075267978887334,0.08254836464402789,0.06098058006634494,9178.746533203124,TREND_UP,0.0647301120027393,HIGH_VOLATILITY
2018-02-16,10233.900390625,10324.099609375,9824.8203125,0.006639518158486624,0.0487868044262358,0.0620490023658688,9118.40654296875,TREND_UP,0.05978242897632657,HIGH_VOLATILITY
2018-02-17,11112.7001953125,11139.5,10149.400390625,0.0858714440383399,0.08909622251778541,0.05183602819169872,9084.7265625,TREND_UP,0.05969091904563095,HIGH_VOLATILITY
2018-02-18,10551.7998046875,11349.7998046875,10326.0,-0.050473816513253555,0.09702608309841988,0.049645231120951025,9047.496533203124,TREND_UP,0.06363757959846107,HIGH_VOLATILITY
2018-02-19,11225.2998046875,11273.7998046875,10513.2001953125,0.06382797366007709,0.06775762096415333,0.05192794621073181,9103.446533203125,TREND_UP,0.06403493595056962,HIGH_VOLATILITY
2018-02-20,11403.7001953125,11958.5,11231.7998046875,0.01589270609507487,0.06372494741761194,0.05393678489369873,9162.5765625,TREND_UP,0.06264421581493534,HIGH_VOLATILITY
2018-02-21,10690.400390625,11418.5,10479.099609375,-0.06254985596523333,0.08787326538759127,0.04967898556930417,9238.569580078125,TREND_UP,0.06351151057363942,HIGH_VOLATILITY
2018-02-22,10005.0,11039.099609375,9939.08984375,-0.06411363144322124,0.10994600356071964,0.04516990421673598,9297.282080078125,TREND_UP,0.06477556742487807,HIGH_VOLATILITY
2018-02-23,10301.099609375,10487.2998046875,9734.5595703125,0.02959516335582202,0.07307377492883704,0.044635609384905586,9353.591552734375,TREND_UP,0.062428944471896064,HIGH_VOLATILITY
2018-02-24,9813.0703125,10597.2001953125,9546.9697265625,-0.04737642731178393,0.10702363636508387,0.036792205528592185,9430.394580078126,TREND_UP,0.057937259542307676,HIGH_VOLATILITY
2018-02-25,9664.73046875,9923.2197265625,9407.0595703125,-0.015116557715992629,0.053406575374135415,0.034293555598613544,9565.867602539063,TREND_UP,0.05325121213145969,HIGH_VOLATILITY
2018-02-26,10366.7001953125,10475.0,9501.73046875,0.07263210586495439,0.09388421705202608,0.02779919480704631,9696.502612304688,TREND_UP,0.05851496648149632,HIGH_VOLATILITY
2018-02-27,10725.599609375,10878.5,10246.099609375,0.03462041028492213,0.05896177497360925,0.04073523250922587,9851.717602539062,TREND_UP,0.052352392417733776,HIGH_VOLATILITY
2018-02-28,10397.900390625,11089.7998046875,10393.099609375,-0.030552997565149287,0.06700393051857487,0.04927777739151488,9958.333129882812,TREND_UP,0.050667801561822344,HIGH_VOLATILITY
2018-03-01,10951.0,11052.2998046875,10352.7001953125,0.05319339372337972,0.06388454108072322,0.04504517042730182,10069.034106445313,TREND_UP,0.04926410868701903,HIGH_VOLATILITY
2018-03-02,11086.400390625,11189.0,10850.099609375,0.012364203326180156,0.030569019581106287,0.04328728987217784,10192.259106445312,TREND_UP,0.04913914542024277,HIGH_VOLATILITY
2018-03-03,11489.7001953125,11528.2001953125,11002.400390625,0.036377885560451295,0.045762708839175166,0.034940364250324554,10360.24560546875,TREND_UP,0.04534616208338813,HIGH_VOLATILITY
2018-03-04,11512.599609375,11512.599609375,11136.099609375,0.0019930384320943073,0.03270330010377557,0.05555544735106054,10489.5470703125,TREND_UP,0.037835466660853266,HIGH_VOLATILITY
2018-03-05,11573.2998046875,11704.099609375,11443.900390625,0.005272501204946822,0.022482716523476932,0.054086168152284335,10638.29658203125,TREND_UP,0.03755752278342441,HIGH_VOLATILITY
2018-03-06,10779.900390625,11500.099609375,10694.2998046875,-0.06855429544313296,0.07475020876707573,0.05224438657229663,10702.560107421876,TREND_UP,0.04167083285346076,HIGH_VOLATILITY
2018-03-07,9965.5703125,10929.5,9692.1201171875,-0.0755415215926486,0.12416548616996173,0.05720404898012898,10692.518603515626,TREND_DOWN,0.04941486885393022,HIGH_VOLATILITY
