experiment,term,coef,p_value
H005.1,Intercept,0.02040236775664207,5.909212630360423e-55
H005.1,C(trend_regime)[T.TREND_UP],-0.0005899388534559394,0.7141985928422216
H005.1,price_range,0.1979007106473676,4.029990966856709e-24
H005.1,price_range:C(trend_regime)[T.TREND_UP],-0.004285497813816694,0.8881109286548458
H005.2,Intercept,0.025246681107616253,1.4556133121708996e-97
H005.2,C(volatility_regime)[T.LOW_VOLATILITY],-0.006061876592657428,8.439445707171475e-05
H005.2,price_range,0.1569776077880606,3.405019833465114e-21
H005.2,price_range:C(volatility_regime)[T.LOW_VOLATILITY],-0.03354983078573631,0.2849623706235098
